year,genre,rating,users_rating,votes,languages,runtime
11,5.0,,3.9,8,1,90
11,5.0,,7.5,59,1,75
11,3.0,,6.0,6,1,94
11,6.0,,3.0,7,1,100
11,6.0,,4.9,13,1,105
11,3.0,,4.3,34,1,85
11,6.0,,5.7,27,1,
11,6.0,,2.9,10,1,95
11,6.0,,7.2,6,1,95
11,5.0,,5.8,46,1,90
11,8.0,,6.4,58,1,100
11,8.0,,4.7,21,1,
11,5.0,,7.4,7,1,95
11,8.0,,3.4,136,1,85
11,5.0,,6.1,14,1,
11,5.0,,7.5,69,1,97
11,3.0,,4.0,12,1,75
11,6.0,,6.0,11,1,
11,5.0,,4.0,11,1,85
11,5.0,,6.1,18,1,
11,3.0,,5.1,10,1,81
11,5.0,,5.6,10,1,83
11,3.0,9.0,2.5,26,1,74
11,6.0,,3.0,14,1,
11,5.0,,7.1,10,1,
11,6.0,,4.6,14,1,
11,6.0,,3.0,17,1,77
11,6.0,,4.2,38,1,
11,3.0,,5.7,17,1,
11,3.0,,5.1,34,1,84
11,6.0,,6.0,20,1,85
11,3.0,,3.4,9,1,90
11,6.0,,5.8,24,1,105
11,8.0,,6.8,247,1,100
11,3.0,,4.0,68,1,90
11,5.0,,6.2,11,1,85
11,6.0,,6.7,35,1,
11,1.0,,6.8,209,1,
11,5.0,,7.0,42,1,
11,5.0,,6.6,7,1,
11,2.0,,4.0,6,1,90
11,6.0,,5.9,19,1,100
11,3.0,,4.1,22,1,
11,5.0,,5.0,8,1,
11,6.0,,4.5,11,1,90
11,5.0,,6.0,7,1,
11,5.0,,8.0,36,1,
11,3.0,,5.2,20,1,90
11,3.0,,3.6,14,1,75
11,6.0,,3.8,8,1,
11,3.0,,3.8,21,1,
11,3.0,,5.2,45,1,
12,6.0,,3.4,11,1,82
12,3.0,,3.5,190,1,80
12,3.0,,5.4,19,1,
12,6.0,,5.4,24,1,
12,6.0,,2.8,19,1,89
12,6.0,,6.2,38,1,110
12,6.0,,6.1,20,1,90
12,6.0,,5.5,8,1,90
12,5.0,9.0,7.1,224,1,79
12,3.0,,3.3,14,1,90
12,3.0,,4.8,21,1,87
12,3.0,,5.0,7,1,98
12,5.0,,6.9,138,1,98
12,5.0,3.0,6.6,236,1,97
12,6.0,,6.1,76,1,
12,12.0,,4.4,7,1,
12,6.0,,3.1,8,1,100
12,3.0,,4.7,25,1,
12,3.0,,3.8,27,1,90
12,3.0,,4.9,16,1,87
12,6.0,,6.4,19,1,105
12,5.0,,6.6,36,1,92
12,5.0,,5.9,37,1,
12,5.0,,6.8,48,1,87
